freq,indic_ur,cities\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,DE2001I,DE025F	: 	: 	92 	: 	: 	: 	91 	: 	: 	: 	91 	: 	: 	: 	91 	91 	91 	91 	91 	91 	91 	90 	94 	91 	: 	89 	88 	87 e	87 e	87 	: 	: 	87 
A,DE2001I,DE026F	: 	: 	94 	: 	: 	: 	93 	: 	: 	: 	93 	: 	: 	: 	93 	93 	93 	93 	93 	93 	93 	93 	93 	93 	: 	92 	90 	89 e	88 e	88 	: 	: 	83 
A,DE2001I,DE027F	: 	: 	98 	: 	: 	: 	97 	: 	: 	: 	96 	: 	: 	: 	94 	95 	95 	95 	95 	95 	95 	95 	96 	95 	: 	94 	93 	91 e	90 e	90 	: 	: 	: 
A,DE2001I,DE028F	: 	: 	99 	: 	: 	: 	99 	: 	: 	: 	98 	: 	: 	: 	98 	98 	98 	98 	98 	98 	98 	97 	97 	97 	: 	97 	95 	95 e	94 e	94 	: 	: 	84 
A,DE2001I,DE029F	: 	: 	99 	: 	: 	: 	98 	: 	: 	: 	98 	: 	: 	: 	97 	97 	97 	97 	97 	97 	97 	97 	98 	98 	: 	97 	94 	95 e	94 e	94 	: 	: 	97 
A,DE2001I,DE030F	: 	: 	99 	: 	: 	: 	99 	: 	: 	: 	98 	: 	: 	: 	98 	98 	98 	98 	98 	98 	98 	97 	99 	98 	: 	97 	95 	95 e	94 e	94 	: 	: 	90 
A,DE2001I,DE031F	: 	: 	89 	: 	: 	: 	89 	: 	: 	: 	89 	: 	: 	: 	89 	89 	89 	89 	89 	89 	89 	89 	89 	90 	: 	88 	87 	87 e	86 e	85 	: 	: 	80 
A,DE2001I,DE032F	: 	: 	89 	: 	: 	: 	88 	: 	: 	: 	88 	: 	: 	: 	88 	88 	89 	89 	89 	89 	89 	89 	94 	91 	: 	90 	89 	88 e	88 e	88 	: 	: 	85 
A,DE2001I,DE033F	: 	: 	89 	: 	: 	: 	89 	: 	: 	: 	89 	: 	: 	: 	89 	89 	89 	89 	89 	89 	89 	88 	90 	88 	: 	87 	86 	85 e	85 e	84 	: 	: 	85 
A,DE2001I,DE034F	: 	: 	90 	: 	: 	: 	89 	: 	: 	: 	89 	: 	: 	: 	89 	89 	89 	89 	89 	89 	89 	89 	90 	90 	: 	88 	87 	86 e	85 e	84 	: 	: 	83 
A,DE2001I,DE035F	: 	: 	89 	: 	: 	: 	87 	: 	: 	: 	88 	: 	: 	: 	87 	87 	88 	88 	88 	88 	88 	88 	89 	89 	: 	88 	87 	86 e	86 e	86 	: 	: 	81 
A,DE2001I,DE036F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	94 	: 	: 	94 	95 	95 	95 	95 	95 	95 	95 	96 	96 	: 	95 	94 	93 e	93 e	93 	: 	: 	89 
A,DE2001I,DE037F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	91 	: 	: 	91 	91 	91 	91 	91 	91 	91 	91 	92 	92 	: 	92 	90 	89 e	89 e	88 	: 	: 	84 
A,DE2001I,DE039F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	94 	: 	: 	93 	93 	94 	94 	94 	94 	94 	94 	94 	94 	: 	93 	92 	91 e	91 e	90 	: 	: 	90 
A,DE2001I,DE040F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	97 	97 	97 	97 	97 	97 	97 	97 	98 	98 	: 	97 	97 	96 e	96 e	95 	: 	: 	98 
A,DE2001I,DE041F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	93 	93 	93 	93 	93 	93 	93 	93 	94 	93 	: 	93 	91 	90 e	90 e	89 	: 	: 	86 
A,DE2001I,DE042F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	88 	88 	88 	88 	88 	88 	88 	88 	89 	90 	: 	89 	88 	88 e	87 e	87 	: 	: 	86 
A,DE2001I,DE045F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	96 	96 	96 	96 	96 	96 	96 	96 	97 	97 	: 	97 	95 	94 e	94 e	94 	: 	: 	90 
A,DE2001I,DE047F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	88 	88 	88 	88 	88 	88 	89 	89 	92 	90 	: 	89 	88 	87 e	87 e	86 	: 	: 	89 
A,DE2001I,DE048F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	89 	89 	89 	89 	90 	90 	90 	89 	90 	89 	: 	88 	87 	86 e	85 e	85 	: 	: 	85 
A,DE2001I,DE049F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	95 	95 	95 	95 	95 	95 	95 	95 	98 	96 	: 	95 	94 	93 e	92 e	92 	: 	: 	88 
A,DE2001I,DE050F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	90 	91 	91 	91 	91 	91 	91 	91 	94 	93 	: 	92 	90 	90 e	89 e	88 	: 	: 	80 
A,DE2001I,DE051F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	88 	88 	88 	88 	88 	88 	88 	88 	92 	89 	: 	88 	87 	86 e	85 e	85 	: 	: 	81 
A,DE2001I,DE052F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	93 	93 	93 	93 	93 	94 	94 	94 	94 	94 	: 	93 	91 	89 e	89 e	88 	: 	: 	89 
A,DE2001I,DE053F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	97 	97 	97 	97 	97 	97 	97 	97 	98 	98 	: 	98 	97 	96 e	95 e	95 	: 	: 	: 
A,DE2001I,DE054F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	92 	92 	92 	92 	93 	93 	93 	92 	93 	93 	: 	91 	90 	89 e	88 e	88 	: 	: 	88 
A,DE2001I,DE056F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	95 	95 	95 	95 	95 	95 	95 	95 	96 	96 	: 	96 	95 	95 e	94 e	93 	: 	: 	93 
A,DE2001I,DE057F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	95 	95 	95 	95 	95 	95 	95 	95 	96 	96 	: 	95 	94 	93 e	93 e	92 	: 	: 	89 
A,DE2001I,DE058F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	90 	90 	91 	91 	91 	91 	91 	91 	91 	92 	: 	91 	90 	90 e	89 e	89 	: 	: 	97 
A,DE2001I,DE059F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	95 	95 	95 	95 	95 	95 	95 	95 	96 	96 	: 	95 	94 	93 e	92 e	92 	: 	: 	96 
A,DE2001I,DE060F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	98 	98 	98 	98 	98 	99 	99 	99 	99 	99 	: 	98 	97 	97 e	97 e	96 	: 	: 	94 
A,DE2001I,DE061F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	98 	98 	98 	98 	98 	98 	98 	98 	99 	99 	: 	98 	97 	97 e	97 e	97 	: 	: 	: 
